1,Technician/ Electrician,Apto Solutions,"Chembur, Mumbai/Bombay","₹50,000 - ₹149,999 monthly","['Work from Office', 'Full Time', 'Min. 5 years', 'No English Required']"
2,Civil Engineer,Sunil Construction Co.,Mumbai/Bombay,"₹25,000 - ₹149,000 monthly","['Field Job', 'Full Time', 'Min. 5 years', 'Basic English']"
3,Physics Professor,Masterclass Edutech Private Limited,"Andheri West, Mumbai/Bombay","₹100,000 - ₹149,000 monthly","['Work from Office', 'Part Time', 'Full Time', 'Min. 2 years', 'Good (Intermediate / Advanced) English']"
4,Senior Civil Structural Design Engineer,Talentspring Staffing,"Vikhroli East, Mumbai/Bombay","₹50,000 - ₹140,000 monthly","['Work from Office', 'Full Time', 'Night Shift', 'Min. 10 years', 'Good (Intermediate / Advanced) English']"
5,Senior Full Stack Developer,Aurevion Technologies,Mumbai/Bombay,"₹70,000 - ₹120,000 monthly","['Work from Office', 'Full Time', 'Min. 5 years', 'Good (Intermediate / Advanced) English']"
6,Area Sales Manager/Sr. Area Sales Manager,Square Yards,"Andheri East, Mumbai/Bombay","₹50,000 - ₹125,000 monthly*","['Work from Office', 'Full Time', 'Min. 2 years', 'Good (Intermediate / Advanced) English']"
7,Company Secretary,Modern Engineering and Projects Limited,"Nariman Point, Mumbai/Bombay","₹90,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 3 years', 'Good (Intermediate / Advanced) English']"
8,Forensic Accounting Executive,OSBS Accounting Solutions Private Limited,"Nariman Point, Mumbai/Bombay","₹70,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 5 years', 'Good (Intermediate / Advanced) English']"
9,Manager Accounts-construction Industry,Unique Concrete Technologies Private Limited,"Lower Parel, Mumbai/Bombay","₹95,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 10 years', 'Basic English']"
10,Administrative Receptionist,Bismak Property Management Services LLP,"Mumbai Central, Mumbai/Bombay","₹75,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 2 years', 'Basic English']"
11,Liasion Bank Retired Manager,Tanvish Trading Private Limited,"Prabhadevi, Mumbai/Bombay","₹50,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 10 years', 'Good (Intermediate / Advanced) English']"
12,CAD / Manual Jewelry Designer,Singem Kriti,Mumbai/Bombay,"₹20,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Any experience', 'No English Required']"
13,Medical Representative (MR),Belarafone Pharmaceuticals,"Worli, Mumbai/Bombay","₹35,000 - ₹110,000 monthly*","['Work from Office', 'Full Time', 'Min. 5 years', 'Basic English']"
14,Sales and Marketing Executive,Ozark International Private Limited,"Andheri West, Mumbai/Bombay","₹25,000 - ₹120,000 monthly*","['Work from Office', 'Full Time', 'Any experience', 'Basic English']"
