1,Civil Engineer,Sunil Construction Co.,Mumbai/Bombay,"₹25,000 - ₹149,000 monthly","['Field Job', 'Full Time', 'Min. 5 years', 'Basic English']"
2,Senior Civil Structural Design Engineer,Talentspring Staffing,"Vikhroli East, Mumbai/Bombay","₹50,000 - ₹140,000 monthly","['Work from Office', 'Full Time', 'Night Shift', 'Min. 10 years', 'Good (Intermediate / Advanced) English']"
3,Delivery Boy Biker,Balaji Enterprises,"Andheri West, Mumbai/Bombay","₹60,000 - ₹129,999 monthly","['Field Job', 'Part Time', 'Full Time', 'Any experience', 'No English Required']"
4,Sales Officer,Modi Auto Group Private Limited,Mumbai/Bombay,"₹80,000 - ₹149,000 monthly*","['Work from Office', 'Full Time', 'Any experience', 'Basic English']"
5,Senior Full Stack Developer,Aurevion Technologies,Mumbai/Bombay,"₹70,000 - ₹120,000 monthly","['Work from Office', 'Full Time', 'Min. 5 years', 'Good (Intermediate / Advanced) English']"
6,Senior C/C++ Engineer,Orasi Media,"Fort Mumbai, Mumbai/Bombay","₹50,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 3 years', 'Good (Intermediate / Advanced) English']"
7,Company Secretary,Modern Engineering and Projects Limited,"Nariman Point, Mumbai/Bombay","₹90,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 3 years', 'Good (Intermediate / Advanced) English']"
8,Forensic Accounting Executive,OSBS Accounting Solutions Private Limited,"Nariman Point, Mumbai/Bombay","₹70,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 5 years', 'Good (Intermediate / Advanced) English']"
9,Liaison Officer,Tanvish Trading Private Limited,"Prabhadevi, Mumbai/Bombay","₹50,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Night Shift', 'Min. 10 years', 'Good (Intermediate / Advanced) English']"
10,Liasion Bank Retired Manager,Tanvish Trading Private Limited,"Prabhadevi, Mumbai/Bombay","₹50,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 10 years', 'Good (Intermediate / Advanced) English']"
11,Manual Jewellery Designer,PDR Arts,Mumbai/Bombay,"₹90,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 3 years', 'Good (Intermediate / Advanced) English']"
12,Medical Representative (MR),Belarafone Pharmaceuticals,"Worli, Mumbai/Bombay","₹35,000 - ₹110,000 monthly*","['Work from Office', 'Full Time', 'Min. 5 years', 'Basic English']"
13,HR Manager,Waterwise Systems,"Chedda Nagar, Mumbai/Bombay","₹60,000 - ₹100,000 monthly","['Work from Office', 'Full Time', 'Min. 10 years', 'Basic English']"
14,Collection Head,Medius Technologies Private Limited,"Church Gate, Mumbai/Bombay","₹50,000 - ₹140,000 monthly*","['Work from Office', 'Full Time', 'Min. 10 years', 'No English Required']"
